island	sitename	depthname	quad	species	colony	depth	allfates	fate_prior	fate_t	year	asize	psize	yearNext	asizeNext	psizeNext	survIPM	fateIPM	fec1	fec2	fec3	offspringNext	spcover	allcover	fuseLGname	fuseLGsize	twoyear	
Ma	HonN	03m	4	PC	01	03	R		R	1999			2000	1.020702	4.248193		recruit				sexual	0	185.229351			0	
Ma	HonN	03m	4	PL	01	03	S		S	1999	25.627569	27.514280	2000	29.766100	36.784171	1	growth	0				54.05607	185.229351			0	
Ma	HonN	03m	4	PL	02	03	S		S	1999	8.857002	14.944300	2000	8.229605	12.832653	1	growth	0				54.05607	185.229351			0	
Ma	HonN	03m	4	PL	03	03	S		S	1999	12.248852	17.004686	2000	12.903014	15.365990	1	growth	0				54.05607	185.229351			0	
Ma	HonN	03m	4	PL	04	03	D		D	1999	0.245180	2.046052	2000			0	dead					54.05607	185.229351			0	
Ma	HonN	03m	4	PL	05	03	D		D	1999	0.190947	1.770678	2000			0	dead					54.05607	185.229351			0	
Ma	HonN	03m	4	PL	06	03	S		S	1999	6.162277	13.171643	2000	6.058123	12.036073	1	growth	0				54.05607	185.229351			0	
Ma	HonN	03m	4	PL	07	03	S		S	1999	0.724243	3.433059	2000	0.571719	3.538618	1	growth	0				54.05607	185.229351			0	
Ma	HonN	03m	4	PM	01	03	S		S	1999	73.346233	52.768712	2000	79.566490	51.515409	1	growth	0				73.346233	185.229351			0	
Ma	HonN	03m	5	PL	01	03	S		S	1999	35.981550	38.460971	2000	34.805950	44.707010	1	growth	0				361.183821	462.666768			0	
Ma	HonN	03m	5	PL	02	03	S		S	1999	1.254594	5.291301	2000	0.626777	3.322012	1	growth	0				361.183821	462.666768			0	
Ma	HonN	03m	5	PL	03a	03	I		I	1999	22.138677	27.846359	2000	2.854876	7.701154		fissSM		3	3.933884	clonal	361.183821	462.666768			0	
Ma	HonN	03m	5	PL	03b	03	I		I	1999	22.138677	27.846359	2000	0.637355	4.659400		fissSM		3	3.933884	clonal	361.183821	462.666768			0	
