"","island","sitename","depthname","quad","species","colony","depth","allfates","fate_prior","fate_t","year","asize","psize","yearNext","asizeNext","psizeNext","survIPM","fateIPM","fec1","fec2","fec3","offspringNext","spcover","allcover","fuseLGname","fuseLGsize","twoyear","unknown","size","sizeNext","surv","rec1","rec2","rec3","stage","stageNext"
"71","Ma","HonN","03m",2,"PL","12",3,"I",NA,"I",1999,59.705104,52.036025,2000,28.152683,26.972845,1,"fissLG",1,2,23.306486,NA,335.158984,454.612746,NA,NA,0,NA,4.08941751088149,3.33764266087872,1,1,1,1,"continuous","continuous"
"72","Ma","HonN","03m",2,"PL","13",3,"S",NA,"S",1999,21.002647,28.961999,2000,24.85577,29.820944,1,"growth",0,NA,NA,NA,335.158984,454.612746,NA,NA,0,NA,3.04464847739914,3.21308991874893,1,1,1,1,"continuous","continuous"
"73","Ma","HonN","03m",2,"PL","14",3,"S",NA,"S",1999,4.362647,9.654682,2000,0.405503,2.616425,1,"growth",0,NA,NA,NA,335.158984,454.612746,NA,NA,0,NA,1.47307898323591,-0.9026270071803,1,1,1,1,"continuous","continuous"
"74","Ma","HonN","03m",2,"PL","15",3,"S",NA,"S",1999,20.62155,19.355658,2000,26.245278,21.845848,1,"growth",0,NA,NA,NA,335.158984,454.612746,NA,NA,0,NA,3.02633664550183,3.26748608714197,1,1,1,1,"continuous","continuous"
"75","Ma","HonN","03m",2,"PL","16",3,"S",NA,"S",1999,5.565217,9.977489,2000,2.372411,6.934542,1,"growth",0,NA,NA,NA,335.158984,454.612746,NA,NA,0,NA,1.71653597767796,0.86390673762655,1,1,1,1,"continuous","continuous"
"76","Ma","HonN","03m",2,"PL","17",3,"S",NA,"S",1999,13.132703,26.739408,2000,13.212996,25.37672,1,"growth",0,NA,NA,NA,335.158984,454.612746,NA,NA,0,NA,2.57510553156013,2.58120089069988,1,1,1,1,"continuous","continuous"
"77","Ma","HonN","03m",2,"PL","18",3,"S",NA,"S",1999,5.237353,10.433283,2000,2.974053,7.185089,1,"growth",0,NA,NA,NA,335.158984,454.612746,NA,NA,0,NA,1.6558162180286,1.08992566899551,1,1,1,1,"continuous","continuous"
"78","Ma","HonN","03m",2,"PL","20",3,"S",NA,"S",1999,1.001739,4.097056,2000,1.075464,4.157837,1,"growth",0,NA,NA,NA,335.158984,454.612746,NA,NA,0,NA,0.00173748969019892,0.0727521963620736,1,1,1,1,"continuous","continuous"
"79","Ma","HonN","03m",2,"PL","21",3,"S",NA,"S",1999,4.080756,13.975865,2000,3.268263,14.424081,1,"growth",0,NA,NA,NA,335.158984,454.612746,NA,NA,0,NA,1.40628226536888,1.18425865111581,1,1,1,1,"continuous","continuous"
"80","Ma","HonN","03m",2,"PL","22",3,"D",NA,"D",1999,2.333762,6.787677,2000,NA,NA,0,"dead",NA,NA,NA,NA,335.158984,454.612746,NA,NA,0,NA,0.847481557799515,NA,0,0,0,NA,"continuous","dead"
"81","Ma","HonN","03m",2,"MC","1",3,"U",NA,"U",1999,1.482042,7.374761,2000,3.580104,10.779301,1,"fuseLG",0,NA,NA,NA,44.688696,454.612746,NA,NA,0,NA,0.393420866553294,1.27539185026999,1,1,1,1,"dead","continuous"
"82","Ma","HonN","03m",2,"MC","2",3,"U",NA,"U",1999,1.229187,5.4968,2000,3.580104,10.779301,0,"fuseSM",0,NA,NA,NA,44.688696,454.612746,"1",1.482042,0,NA,0.206352975233886,1.27539185026999,0,NA,NA,NA,"continuous","dead"
"83","Ma","HonN","03m",2,"MC","3",3,"S",NA,"S",1999,0.774291,5.396672,2000,0.292006,2.506426,1,"growth",0,NA,NA,NA,44.688696,454.612746,NA,NA,0,NA,-0.255807507058794,-1.23098092897976,1,1,1,1,"continuous","continuous"
"84","Ma","HonN","03m",2,"MC","4",3,"D",NA,"D",1999,0.404083,3.155454,2000,NA,NA,0,"dead",NA,NA,NA,NA,44.688696,454.612746,NA,NA,0,NA,-0.906134976577478,NA,0,0,0,NA,"continuous","dead"
"85","Ma","HonN","03m",2,"MC","5",3,"D",NA,"D",1999,0.473043,4.198932,2000,NA,NA,0,"dead",NA,NA,NA,NA,44.688696,454.612746,NA,NA,0,NA,-0.748568985531276,NA,0,0,0,NA,"continuous","dead"
"86","Ma","HonN","03m",2,"MC","6",3,"S",NA,"S",1999,5.057089,10.935371,2000,3.657237,10.698756,1,"growth",0,NA,NA,NA,44.688696,454.612746,NA,NA,0,NA,1.62079102131019,1.29670794428638,1,1,1,1,"continuous","continuous"
"87","Ma","HonN","03m",2,"MC","7",3,"D",NA,"D",1999,0.411342,2.858566,2000,NA,NA,0,"dead",NA,NA,NA,NA,44.688696,454.612746,NA,NA,0,NA,-0.888330293714818,NA,0,0,0,NA,"continuous","dead"
"88","Ma","HonN","03m",2,"MC","8",3,"D",NA,"D",1999,0.365369,2.424295,2000,NA,NA,0,"dead",NA,NA,NA,NA,44.688696,454.612746,NA,NA,0,NA,-1.00684747717034,NA,0,0,0,NA,"continuous","dead"
"89","Ma","HonN","03m",2,"MC","9",3,"D",NA,"D",1999,0.280681,2.102088,2000,NA,NA,0,"dead",NA,NA,NA,NA,44.688696,454.612746,NA,NA,0,NA,-1.27053648582828,NA,0,0,0,NA,"continuous","dead"
"90","Ma","HonN","03m",2,"MC","10",3,"U",NA,"U",1999,3.278639,11.274758,2000,12.386564,31.490704,0,"fuseSM",0,NA,NA,NA,44.688696,454.612746,"11",6.7569,0,NA,1.18742839726064,2.51661233676094,0,NA,NA,NA,"continuous","dead"
"91","Ma","HonN","03m",2,"MC","11",3,"U",NA,"U",1999,6.7569,22.117292,2000,12.386564,31.490704,1,"fuseLG",0,NA,NA,NA,44.688696,454.612746,NA,NA,0,NA,1.91056420499331,2.51661233676094,1,1,1,1,"dead","continuous"
"92","Ma","HonN","03m",2,"MC","12",3,"S",NA,"S",1999,2.808015,9.875313,2000,3.047881,7.714827,1,"growth",0,NA,NA,NA,44.688696,454.612746,NA,NA,0,NA,1.03247782802964,1.11444659506749,1,1,1,1,"continuous","continuous"
"93","Ma","HonN","03m",2,"MC","13",3,"D",NA,"D",1999,1.688922,5.781753,2000,NA,NA,0,"dead",NA,NA,NA,NA,44.688696,454.612746,NA,NA,0,NA,0.524090455586989,NA,0,0,0,NA,"continuous","dead"
"94","Ma","HonN","03m",2,"MC","14",3,"S",NA,"S",1999,8.186919,23.777818,2000,6.479227,17.801346,1,"growth",0,NA,NA,NA,44.688696,454.612746,NA,NA,0,NA,2.1025376366114,1.86860121312509,1,1,1,1,"continuous","continuous"
"95","Ma","HonN","03m",2,"MC","15",3,"S",NA,"S",1999,1.854669,5.931071,2000,0.628088,4.128669,1,"growth",0,NA,NA,NA,44.688696,454.612746,NA,NA,0,NA,0.617706243480002,-0.465074994942329,1,1,1,1,"continuous","continuous"
"96","Ma","HonN","03m",2,"MC","16a",3,"I",NA,"I",1999,2.808015,9.590361,2000,0.795579,4.573954,NA,"fissSM",NA,1,0.795579,"clonal",44.688696,454.612746,NA,NA,0,1,1.03247782802964,-0.228685127524133,NA,NA,NA,NA,"continuous","continuous"
"97","Ma","HonN","03m",2,"MC","16",3,"I",NA,"I",1999,2.808015,9.590361,2000,0.769133,4.089779,1,"fissLG",1,1,0.795579,NA,44.688696,454.612746,NA,NA,0,NA,1.03247782802964,-0.262491372545381,1,1,1,1,"continuous","continuous"
"98","Ma","HonN","03m",2,"MC","17",3,"S",NA,"S",1999,4.297316,12.874758,2000,3.1162,9.170403,1,"growth",0,NA,NA,NA,44.688696,454.612746,NA,NA,0,NA,1.45799064176779,1.13661431080112,1,1,1,1,"continuous","continuous"
"99","Ma","HonN","03m",2,"MC","18",3,"S",NA,"S",1999,2.532174,9.074589,2000,5.296878,15.211325,1,"growth",0,NA,NA,NA,44.688696,454.612746,NA,NA,0,NA,0.92907822229994,1.6671175903923,1,1,1,1,"continuous","continuous"
"100","Ma","HonN","03m",2,"MP","1",3,"D",NA,"D",1999,2.84189,10.65771,2000,NA,NA,0,"dead",NA,NA,NA,NA,2.84189,454.612746,NA,NA,0,NA,1.04446932378862,NA,0,0,0,NA,"continuous","dead"
"101","Ma","HonN","03m",2,"PV","1",3,"S",NA,"S",1999,45.720681,31.38285,2000,10.23784,20.599164,1,"growth",0,NA,NA,NA,45.720681,454.612746,NA,NA,0,NA,3.8225507338288,2.32609065986092,1,1,1,1,"continuous","continuous"
