Site,Depth (m),Taxon,year,cover
Puamana,3,Pocillopora meandrina,2004,1.738181818
Puamana,3,Porites compressa,2004,0
Puamana,3,Porites lobata,2004,6.774545455
Honolua North,3,Montipora capitata,2005,1.12
Honolua North,3,Montipora flabellata,2005,0
Honolua North,3,Montipora patula,2005,0.6
Honolua North,3,Pocillopora meandrina,2005,0.68
Honolua North,3,Porites compressa,2005,0
Honolua North,3,Porites lobata,2005,4.84
Honolua South,3,Montipora capitata,2005,2.56
Honolua South,3,Montipora flabellata,2005,0.52
Honolua South,3,Montipora patula,2005,1.68
Honolua South,3,Pocillopora meandrina,2005,1.16
Honolua South,3,Porites compressa,2005,0
Honolua South,3,Porites lobata,2005,3.56
Kahekili,3,Montipora capitata,2005,3.64
Kahekili,3,Montipora flabellata,2005,0
Kahekili,3,Montipora patula,2005,2.64
Kahekili,3,Pocillopora meandrina,2005,1.28
Kahekili,3,Porites compressa,2005,0
Kahekili,3,Porites lobata,2005,21.24
Kahekili,7,Montipora capitata,2005,3.16
Kahekili,7,Montipora flabellata,2005,0
Kahekili,7,Montipora patula,2005,0.8
Kahekili,7,Pocillopora meandrina,2005,0.32
Kahekili,7,Porites compressa,2005,1.12
Kahekili,7,Porites lobata,2005,18.76
Molokini,8,Montipora capitata,2005,22.68
Molokini,8,Montipora flabellata,2005,0
Molokini,8,Montipora patula,2005,14.8
Molokini,8,Pocillopora meandrina,2005,1.76
Molokini,8,Porites compressa,2005,1.56
Molokini,8,Porites lobata,2005,23
Molokini,13,Montipora capitata,2005,56.31111111
Molokini,13,Montipora flabellata,2005,0
Molokini,13,Montipora patula,2005,23.06666667
Molokini,13,Pocillopora meandrina,2005,0.488888889
Molokini,13,Porites compressa,2005,0.133333333
Molokini,13,Porites lobata,2005,2.488888889
Olowalu,3,Montipora capitata,2005,4.36
Olowalu,3,Montipora flabellata,2005,0
Olowalu,3,Montipora patula,2005,2.12
Olowalu,3,Pocillopora meandrina,2005,0.6
Olowalu,3,Porites compressa,2005,0
Olowalu,3,Porites lobata,2005,8.8
Olowalu,7,Montipora capitata,2005,21.92888889
Olowalu,7,Montipora flabellata,2005,0
Olowalu,7,Montipora patula,2005,13.28
Olowalu,7,Pocillopora meandrina,2005,1.484444444
Olowalu,7,Porites compressa,2005,0.12
Olowalu,7,Porites lobata,2005,14.28888889
Papaula Pt.,10,Montipora capitata,2005,
Papaula Pt.,10,Montipora flabellata,2005,
Papaula Pt.,10,Montipora patula,2005,
Papaula Pt.,10,Pocillopora meandrina,2005,
Papaula Pt.,10,Porites compressa,2005,
Papaula Pt.,10,Porites lobata,2005,
Puamana,3,Montipora capitata,2005,
Puamana,3,Montipora flabellata,2005,
Puamana,3,Montipora patula,2005,
Puamana,3,Pocillopora meandrina,2005,
Puamana,3,Porites compressa,2005,
Puamana,3,Porites lobata,2005,
Honolua North,3,Montipora capitata,2006,1.2
Honolua North,3,Montipora flabellata,2006,0.08
Honolua North,3,Montipora patula,2006,0.68
Honolua North,3,Pocillopora meandrina,2006,0.6
Honolua North,3,Porites compressa,2006,0
Honolua North,3,Porites lobata,2006,6.16
Honolua South,3,Montipora capitata,2006,1.68
Honolua South,3,Montipora flabellata,2006,0
Honolua South,3,Montipora patula,2006,1.52
Honolua South,3,Pocillopora meandrina,2006,1.64
Honolua South,3,Porites compressa,2006,0
Honolua South,3,Porites lobata,2006,3.36
Kahekili,3,Montipora capitata,2006,9.32
Kahekili,3,Montipora flabellata,2006,0
Kahekili,3,Montipora patula,2006,2.16
Kahekili,3,Pocillopora meandrina,2006,1.48
Kahekili,3,Porites compressa,2006,0
Kahekili,3,Porites lobata,2006,24.8
Kahekili,7,Montipora capitata,2006,3.32
Kahekili,7,Montipora flabellata,2006,0
Kahekili,7,Montipora patula,2006,0.4
Kahekili,7,Pocillopora meandrina,2006,0.44
Kahekili,7,Porites compressa,2006,0.4
Kahekili,7,Porites lobata,2006,26.04
Molokini,8,Montipora capitata,2006,27.48444444
Molokini,8,Montipora flabellata,2006,0
Molokini,8,Montipora patula,2006,12.46222222
Molokini,8,Pocillopora meandrina,2006,2.364444444
Molokini,8,Porites compressa,2006,0.76
Molokini,8,Porites lobata,2006,19.23111111
Molokini,13,Montipora capitata,2006,53.34383838
Molokini,13,Montipora flabellata,2006,0
Molokini,13,Montipora patula,2006,23.21050505
Molokini,13,Pocillopora meandrina,2006,1.354343434
Molokini,13,Porites compressa,2006,0
Molokini,13,Porites lobata,2006,2.34989899
Olowalu,3,Montipora capitata,2006,6.32
Olowalu,3,Montipora flabellata,2006,0
Olowalu,3,Montipora patula,2006,2.76
Olowalu,3,Pocillopora meandrina,2006,0.88
Olowalu,3,Porites compressa,2006,0
Olowalu,3,Porites lobata,2006,7.64
Olowalu,7,Montipora capitata,2006,22.96
Olowalu,7,Montipora flabellata,2006,0.08
Olowalu,7,Montipora patula,2006,12.68
Olowalu,7,Pocillopora meandrina,2006,1.4
Olowalu,7,Porites compressa,2006,0
Olowalu,7,Porites lobata,2006,15.76
Papaula Pt.,10,Montipora capitata,2006,8.36
Papaula Pt.,10,Montipora flabellata,2006,19.56
Papaula Pt.,10,Montipora patula,2006,1.68
Papaula Pt.,10,Pocillopora meandrina,2006,0.56
Papaula Pt.,10,Porites compressa,2006,0.12
Papaula Pt.,10,Porites lobata,2006,5.4
Puamana,3,Montipora capitata,2006,0.04
Puamana,3,Montipora flabellata,2006,0
Puamana,3,Montipora patula,2006,0.088888889
Puamana,3,Pocillopora meandrina,2006,2.288888889
Puamana,3,Porites compressa,2006,0
Puamana,3,Porites lobata,2006,7.568888889
Honolua North,3,Montipora capitata,2007,1.017575758
Honolua North,3,Montipora flabellata,2007,0.08
Honolua North,3,Montipora patula,2007,0.935431235
Honolua North,3,Pocillopora meandrina,2007,0.941818182
Honolua North,3,Porites compressa,2007,0
Honolua North,3,Porites lobata,2007,4.412913753
Honolua South,3,Montipora capitata,2007,0.96
Honolua South,3,Montipora flabellata,2007,0.385454545
Honolua South,3,Montipora patula,2007,2.083636364
Honolua South,3,Pocillopora meandrina,2007,1.436363636
Honolua South,3,Porites compressa,2007,0
Honolua South,3,Porites lobata,2007,3.865454545
Kahekili,3,Montipora capitata,2007,5.44969697
Kahekili,3,Montipora flabellata,2007,0
Kahekili,3,Montipora patula,2007,3.276666667
Kahekili,3,Pocillopora meandrina,2007,0.681818182
Kahekili,3,Porites compressa,2007,0
Kahekili,3,Porites lobata,2007,26.53515152
Kahekili,7,Montipora capitata,2007,4.105454545
Kahekili,7,Montipora flabellata,2007,0
Kahekili,7,Montipora patula,2007,0.8
Kahekili,7,Pocillopora meandrina,2007,0.32
Kahekili,7,Porites compressa,2007,0
Kahekili,7,Porites lobata,2007,26.42545455
Molokini,8,Montipora capitata,2007,21.43636364
Molokini,8,Montipora flabellata,2007,0.072727273
Molokini,8,Montipora patula,2007,19.62545455
Molokini,8,Pocillopora meandrina,2007,2.261818182
Molokini,8,Porites compressa,2007,1.734545455
Molokini,8,Porites lobata,2007,19.48727273
Molokini,13,Montipora capitata,2007,57.63111111
Molokini,13,Montipora flabellata,2007,0
Molokini,13,Montipora patula,2007,27.21434343
Molokini,13,Pocillopora meandrina,2007,1.054141414
Molokini,13,Porites compressa,2007,0.08
Molokini,13,Porites lobata,2007,0.621717172
Olowalu,3,Montipora capitata,2007,5.461818182
Olowalu,3,Montipora flabellata,2007,0
Olowalu,3,Montipora patula,2007,2.64
Olowalu,3,Pocillopora meandrina,2007,0.523636364
Olowalu,3,Porites compressa,2007,0
Olowalu,3,Porites lobata,2007,9.290909091
Olowalu,7,Montipora capitata,2007,23.24
Olowalu,7,Montipora flabellata,2007,0
Olowalu,7,Montipora patula,2007,14.76
Olowalu,7,Pocillopora meandrina,2007,0.32
Olowalu,7,Porites compressa,2007,0
